metric,M,A,B
AIME24 peak,0.3375,0.33125,0.3416666666666667
AIME24 final,0.29375,0.3229166666666667,0.3270833333333333
AIME2025 peak,0.25,0.2645833333333333,0.26875
AIME2025 final,0.2270833333333333,0.2645833333333333,0.2395833333333333
OLYMPIAD peak,0.500625,0.493125,0.505625
OLYMPIAD final,0.48875,0.485,0.505625
GPQA peak,0.36625,0.348125,0.3725
GPQA final,0.36625,0.341875,0.3725
MINERVA peak,0.281875,0.28375,0.29
MINERVA final,0.279375,0.27375,0.29
α_t mean (>20),2.9700000000000004e-06,2.8859551971326165e-06,2.9702670694643816e-06
α_t std (>20),8.485495696813901e-22,9.229896736874602e-07,7.744924438514463e-07
entropy mean,0.45013971616824466,0.4460713565349579,0.3616986911992232
entropy final,0.3894703090190887,0.3338406682014465,0.3743257820606232
KL mean,0.0003858837451358473,0.0004011331420830472,0.000378635285305741
KL final,0.0003902075695805,0.0003832282382063,0.0003419737622607
grad norm mean,0.03876436143492654,0.039281232930395864,0.03962494465832904
resp len final,2714.3681640625,2601.96484375,2917.890625
P(g_dot>0) mean,0.5266666666666666,0.5785953177257525,
φ̄_t final,0.5,0.5,0.5
